hotelName,description,cityCode
Al Bandar Rotana,Al Bandar Rotana – Dubai Creek,UAE
Atana Hotel,Atana Hotel-Al Barsha,UAE
Chelsea,Chelsea Gardens Hotel,UAE
Gulf Oasis Hotel Apartments,Gulf Oasis Hotel Apartments,UAE
Golden Sands Hotel,Golden Sands Hotel,UAE
Rose Garden,Rose Garden,UAE
Ivory Grand Hotel,Ivory Grand Hotel,UAE
Al Salam Grand Hotel,Al Salam Grand Hotel,UAE
Al Khoory Hotel,Al Khoory Hotel,UAE
Hyatt Regency Galleria,Hyatt Regency Galleria,UAE
Flora Al Barsha,Flora Al Barsha,UAE
Auria Boutique Hotel,Auria Boutique Hotel,UAE
Abidos Hotel,Abidos Hotel,UAE
Mercure Hotel,Mercure Hotel,UAE
Holiday Inn Express,Holiday Inn Express,UAE
Al Waleed Palace Hotel,Al Waleed Palace Hotel,UAE
Two seasons Hotel,Two seasons Hotel,UAE
ZiQoo Hotel,ZiQoo Hotel,UAE
Premier Inn Dubai,Premier Inn Dubai,UAE
easyHotel Jevel Ali,easyHotel Jevel Ali,UAE
